employee_id,age,gender,department,years_of_experience,salary,performance_score,training_hours,job_satisfaction,last_promotion
66,21.0,Female,HR,12.0,90972.0,4.0,,,
67,46.0,Male,HR,,104963.0,9.0,4.0,2.0,10.0
68,35.0,Male,HR,20.0,106358.0,1.0,21.0,,
69,43.0,Female,IT,15.0,84534.0,4.0,12.0,5.0,9.0
70,61.0,Female,Marketing,16.0,66751.0,1.0,15.0,5.0,1.0
71,51.0,Male,Marketing,0.0,146093.0,9.0,25.0,3.0,8.0
72,27.0,Male,IT,15.0,54121.0,8.0,8.0,3.0,5.0
73,53.0,Male,Marketing,5.0,101736.0,8.0,,5.0,8.0
74,31.0,Female,,7.0,110297.0,7.0,18.0,3.0,0.0
75,48.0,Male,Sales,0.0,52126.0,9.0,35.0,4.0,
76,65.0,Other,Marketing,1.0,,,27.0,5.0,6.0
77,32.0,Male,Sales,14.0,118631.0,7.0,14.0,3.0,1.0
78,25.0,Male,Sales,4.0,56123.0,6.0,8.0,4.0,5.0
79,31.0,Female,IT,19.0,81036.0,5.0,,4.0,1.0
80,40.0,Female,Finance,14.0,108855.0,9.0,5.0,,9.0
81,57.0,Male,Marketing,20.0,45590.0,4.0,,5.0,4.0
82,38.0,Female,IT,,76265.0,3.0,32.0,5.0,
83,33.0,Female,IT,4.0,84324.0,3.0,,3.0,
84,62.0,Female,Sales,,97720.0,2.0,35.0,3.0,
85,35.0,Female,Marketing,5.0,52701.0,1.0,35.0,1.0,1.0
86,64.0,Female,,,102539.0,3.0,33.0,4.0,1.0
87,41.0,Female,HR,14.0,71178.0,8.0,1.0,5.0,0.0
88,43.0,,IT,17.0,135734.0,6.0,,2.0,2.0
89,42.0,Male,HR,13.0,67118.0,2.0,9.0,4.0,5.0
90,62.0,Male,Finance,9.0,55387.0,8.0,,5.0,10.0
91,58.0,Male,HR,3.0,87613.0,5.0,6.0,1.0,
92,46.0,Male,HR,10.0,76666.0,4.0,2.0,4.0,2.0
93,32.0,Male,Sales,19.0,69135.0,1.0,26.0,,2.0
94,62.0,Other,IT,6.0,59554.0,1.0,13.0,5.0,1.0
95,18.0,Male,Finance,14.0,149387.0,4.0,,2.0,1.0
96,42.0,Male,IT,8.0,123317.0,9.0,33.0,3.0,
97,24.0,Female,HR,14.0,72146.0,10.0,,2.0,3.0
98,26.0,Male,HR,11.0,130037.0,10.0,16.0,1.0,
99,41.0,Male,IT,17.0,42988.0,6.0,,4.0,7.0
100,18.0,Male,Finance,,82119.0,1.0,6.0,5.0,
101,61.0,Male,Finance,,46456.0,8.0,2.0,4.0,2.0
102,25.0,Male,Sales,17.0,149681.0,9.0,8.0,3.0,1.0
103,41.0,Female,HR,,134421.0,2.0,2.0,2.0,5.0
104,28.0,Female,HR,14.0,100578.0,6.0,34.0,2.0,
105,34.0,Male,Sales,18.0,59214.0,7.0,39.0,1.0,7.0
106,25.0,Male,IT,4.0,103597.0,1.0,7.0,5.0,
107,52.0,Male,HR,3.0,91405.0,5.0,25.0,3.0,9.0
108,52.0,Female,IT,16.0,145318.0,5.0,14.0,3.0,3.0
109,50.0,Male,Finance,20.0,41034.0,3.0,4.0,,1.0
110,22.0,Male,Marketing,9.0,117523.0,2.0,12.0,1.0,2.0
111,59.0,Female,Sales,11.0,30877.0,1.0,,3.0,
112,56.0,,HR,4.0,127950.0,6.0,38.0,1.0,8.0
113,58.0,Male,Sales,6.0,92718.0,7.0,11.0,5.0,9.0
114,45.0,Male,Finance,11.0,88100.0,2.0,34.0,5.0,3.0
115,24.0,Female,Finance,1.0,122777.0,2.0,7.0,5.0,5.0
116,26.0,Female,Finance,19.0,116213.0,5.0,9.0,3.0,8.0
117,25.0,,Finance,16.0,39642.0,5.0,33.0,5.0,9.0
118,29.0,Female,Marketing,12.0,,3.0,7.0,3.0,
119,51.0,Female,IT,4.0,,3.0,21.0,1.0,8.0
120,50.0,Other,IT,4.0,128385.0,1.0,11.0,4.0,5.0
121,65.0,Other,Marketing,19.0,80483.0,3.0,21.0,1.0,1.0
122,40.0,Male,IT,11.0,95293.0,9.0,26.0,3.0,4.0
123,41.0,Female,Finance,11.0,105450.0,2.0,17.0,2.0,9.0
124,54.0,Male,IT,6.0,136259.0,1.0,18.0,2.0,
125,52.0,Male,Sales,5.0,126629.0,9.0,4.0,4.0,
126,61.0,Female,IT,9.0,144227.0,5.0,,5.0,
127,57.0,Male,Sales,18.0,143140.0,8.0,40.0,1.0,0.0
128,,Female,HR,,79508.0,4.0,9.0,1.0,10.0
129,44.0,Male,Sales,1.0,137815.0,8.0,18.0,3.0,
130,52.0,Female,Sales,3.0,30579.0,5.0,,4.0,6.0
131,18.0,Female,Finance,8.0,42587.0,6.0,21.0,5.0,2.0
132,52.0,,Finance,4.0,96181.0,6.0,,,6.0
133,54.0,Male,Finance,0.0,78470.0,6.0,34.0,2.0,5.0
134,64.0,Male,Sales,10.0,101799.0,2.0,38.0,4.0,0.0
135,31.0,Female,Marketing,,,10.0,8.0,5.0,4.0
136,20.0,Male,,2.0,122345.0,10.0,4.0,5.0,10.0
137,18.0,Other,Finance,0.0,73591.0,9.0,8.0,1.0,5.0
138,22.0,Female,Sales,3.0,61901.0,7.0,10.0,1.0,
139,43.0,Male,HR,8.0,123411.0,3.0,13.0,5.0,8.0
140,,Male,HR,15.0,38499.0,2.0,39.0,1.0,9.0
141,56.0,Male,IT,,30233.0,4.0,23.0,1.0,
142,44.0,Female,HR,4.0,47418.0,8.0,19.0,1.0,10.0
143,26.0,Male,Finance,12.0,89566.0,9.0,32.0,5.0,7.0
144,32.0,Male,,10.0,108466.0,10.0,3.0,1.0,1.0
145,32.0,Male,IT,13.0,45246.0,2.0,15.0,2.0,0.0
146,43.0,Female,Marketing,16.0,68785.0,6.0,24.0,5.0,0.0
147,59.0,Male,Marketing,11.0,133425.0,8.0,0.0,4.0,6.0
148,30.0,Male,Finance,20.0,143400.0,3.0,23.0,3.0,7.0
149,49.0,Female,Sales,20.0,64503.0,9.0,,3.0,7.0
150,56.0,Female,Sales,20.0,34277.0,4.0,31.0,2.0,2.0
151,49.0,Female,Sales,18.0,96477.0,5.0,,5.0,4.0
152,21.0,Male,HR,4.0,30349.0,7.0,24.0,4.0,6.0
153,47.0,Male,Sales,,122798.0,5.0,2.0,5.0,8.0
154,54.0,Female,Finance,1.0,96941.0,4.0,6.0,4.0,
155,40.0,Male,,16.0,103000.0,4.0,34.0,4.0,3.0
156,56.0,Female,Sales,1.0,43508.0,5.0,28.0,5.0,3.0
157,62.0,Female,,2.0,127565.0,,39.0,1.0,5.0
158,32.0,Male,Finance,19.0,,,24.0,3.0,8.0
159,60.0,Female,Finance,17.0,97081.0,2.0,27.0,1.0,0.0
160,46.0,Female,IT,14.0,149008.0,7.0,23.0,3.0,0.0
161,53.0,Male,Finance,,89095.0,4.0,4.0,1.0,0.0
162,30.0,Female,Marketing,16.0,146434.0,8.0,26.0,5.0,3.0
163,49.0,Male,Finance,13.0,58957.0,,9.0,5.0,3.0
164,24.0,Male,IT,0.0,37896.0,8.0,11.0,4.0,
165,39.0,Male,Finance,,113274.0,4.0,,2.0,7.0
166,45.0,Female,Finance,8.0,140128.0,2.0,37.0,5.0,
167,19.0,Female,IT,4.0,135634.0,7.0,7.0,3.0,9.0
168,59.0,Female,Finance,3.0,34288.0,9.0,,4.0,3.0
169,62.0,Male,HR,0.0,55744.0,6.0,29.0,3.0,7.0
170,23.0,Female,Finance,2.0,51150.0,7.0,,1.0,6.0
171,45.0,Male,Sales,,117877.0,,24.0,2.0,5.0
172,45.0,Female,Sales,10.0,140540.0,2.0,29.0,5.0,1.0
173,61.0,Male,HR,15.0,135139.0,9.0,1.0,1.0,4.0
174,61.0,Male,Finance,10.0,130889.0,5.0,,4.0,1.0
175,37.0,Male,Marketing,20.0,51091.0,3.0,,3.0,5.0
176,47.0,Female,Finance,,30900.0,4.0,21.0,2.0,8.0
177,28.0,Male,Sales,11.0,,4.0,9.0,5.0,8.0
178,45.0,Female,IT,4.0,49725.0,9.0,25.0,3.0,5.0
179,42.0,Male,,9.0,58722.0,5.0,12.0,5.0,3.0
180,56.0,Male,IT,12.0,54078.0,2.0,27.0,5.0,9.0
181,50.0,Male,Marketing,18.0,,6.0,,,8.0
182,,Female,Finance,6.0,48059.0,7.0,10.0,5.0,4.0
183,44.0,Female,Marketing,15.0,48161.0,8.0,8.0,4.0,7.0
184,30.0,Male,IT,5.0,100701.0,,15.0,2.0,8.0
185,58.0,Male,Finance,9.0,,8.0,16.0,1.0,4.0
186,20.0,Male,Marketing,9.0,40687.0,8.0,,2.0,5.0
187,56.0,Female,,10.0,112503.0,4.0,4.0,1.0,3.0
188,,Male,Sales,,129770.0,7.0,37.0,,0.0
189,25.0,Female,HR,13.0,38694.0,9.0,30.0,2.0,
190,44.0,Female,,14.0,69518.0,10.0,1.0,4.0,4.0
191,26.0,Male,Sales,6.0,129459.0,4.0,26.0,3.0,
192,54.0,Female,IT,,60641.0,9.0,18.0,1.0,6.0
193,50.0,Female,Sales,10.0,88843.0,4.0,24.0,3.0,3.0
194,59.0,Female,Sales,6.0,70728.0,1.0,37.0,3.0,
195,61.0,Male,IT,10.0,80087.0,4.0,12.0,2.0,3.0
196,,Male,Sales,13.0,73551.0,2.0,28.0,5.0,
197,32.0,Male,Sales,16.0,145043.0,6.0,18.0,5.0,8.0
198,49.0,Male,HR,15.0,113914.0,8.0,34.0,4.0,8.0
199,49.0,Male,Sales,0.0,,6.0,24.0,2.0,10.0
200,41.0,Male,Sales,,125869.0,9.0,8.0,3.0,
201,58.0,Female,HR,8.0,85433.0,6.0,34.0,4.0,
202,29.0,Male,IT,9.0,137941.0,7.0,14.0,3.0,7.0
203,56.0,Male,Sales,18.0,,5.0,,4.0,
204,19.0,Male,Marketing,,106387.0,8.0,12.0,1.0,
205,20.0,Female,IT,15.0,86561.0,2.0,29.0,4.0,9.0
206,54.0,Female,IT,10.0,35364.0,,20.0,4.0,
207,34.0,Female,Sales,16.0,107008.0,8.0,24.0,3.0,7.0
208,19.0,Male,HR,18.0,33974.0,6.0,24.0,5.0,7.0
209,19.0,Other,IT,12.0,114424.0,2.0,39.0,3.0,
210,45.0,,HR,5.0,114066.0,6.0,21.0,2.0,9.0
211,40.0,Male,Marketing,14.0,54053.0,8.0,40.0,3.0,7.0
212,54.0,Male,HR,15.0,70072.0,6.0,2.0,5.0,3.0
213,49.0,Male,Finance,3.0,31210.0,9.0,8.0,2.0,
214,50.0,Male,HR,,118099.0,6.0,23.0,5.0,9.0
215,18.0,Female,IT,6.0,71589.0,3.0,31.0,,5.0
216,36.0,Female,HR,16.0,106445.0,9.0,,3.0,4.0
217,19.0,Male,HR,15.0,149570.0,10.0,,5.0,8.0
218,61.0,Female,,1.0,135128.0,5.0,23.0,5.0,1.0
219,43.0,Male,Finance,16.0,68966.0,6.0,7.0,1.0,
220,49.0,Male,Sales,3.0,56070.0,4.0,5.0,1.0,9.0
221,23.0,Female,,13.0,96643.0,3.0,8.0,4.0,
222,49.0,Female,Sales,7.0,139573.0,10.0,,1.0,10.0
223,21.0,Male,Finance,4.0,133290.0,5.0,23.0,5.0,7.0
224,28.0,,HR,4.0,131738.0,3.0,10.0,4.0,7.0
225,34.0,Female,Finance,4.0,136327.0,2.0,30.0,3.0,4.0
226,55.0,Female,Marketing,4.0,41246.0,,12.0,4.0,9.0
227,41.0,Female,HR,2.0,49199.0,8.0,29.0,2.0,
228,22.0,Male,Sales,5.0,69829.0,3.0,24.0,4.0,4.0
229,51.0,Male,HR,0.0,91125.0,6.0,11.0,1.0,3.0
230,23.0,Male,Marketing,7.0,113955.0,9.0,20.0,3.0,8.0
231,39.0,Male,Finance,12.0,135111.0,1.0,23.0,2.0,7.0
232,28.0,Female,IT,19.0,135277.0,3.0,25.0,4.0,3.0
233,65.0,Male,IT,5.0,30169.0,2.0,,,1.0
234,33.0,Male,IT,17.0,123943.0,8.0,36.0,1.0,1.0
235,50.0,Female,Finance,17.0,122408.0,9.0,20.0,3.0,
236,26.0,Female,IT,15.0,42949.0,10.0,22.0,,10.0
237,23.0,Male,Marketing,,77313.0,6.0,0.0,2.0,9.0
238,33.0,Female,Finance,16.0,108735.0,3.0,9.0,5.0,7.0
239,,Female,IT,,90131.0,10.0,,1.0,
240,20.0,Female,Sales,14.0,110012.0,8.0,37.0,2.0,0.0
241,37.0,Male,Finance,9.0,137127.0,10.0,27.0,2.0,
242,53.0,Female,Finance,0.0,71764.0,7.0,0.0,2.0,3.0
243,36.0,Female,HR,8.0,60899.0,2.0,7.0,5.0,2.0
244,43.0,Male,,16.0,116935.0,7.0,40.0,5.0,
245,20.0,Male,,19.0,77740.0,1.0,22.0,,10.0
246,36.0,Female,Marketing,,95490.0,8.0,19.0,4.0,6.0
247,37.0,Male,Finance,8.0,53281.0,5.0,31.0,1.0,9.0
248,49.0,Female,Marketing,13.0,142339.0,9.0,22.0,1.0,
249,24.0,Male,,4.0,98570.0,3.0,,5.0,0.0
250,58.0,Male,Marketing,5.0,43328.0,7.0,,5.0,5.0
251,50.0,Male,HR,,74047.0,8.0,7.0,5.0,
252,57.0,Female,Marketing,3.0,149168.0,,13.0,2.0,9.0
253,,Male,IT,15.0,49796.0,6.0,13.0,5.0,5.0
254,35.0,Female,IT,15.0,,2.0,35.0,2.0,
255,57.0,Female,Sales,9.0,102666.0,8.0,,2.0,8.0
256,18.0,Female,Sales,13.0,143408.0,,39.0,1.0,
257,28.0,Female,Marketing,12.0,132173.0,3.0,,3.0,
258,45.0,Female,,3.0,85251.0,4.0,19.0,4.0,10.0
259,42.0,Male,HR,13.0,30791.0,7.0,37.0,4.0,7.0
260,40.0,Female,Marketing,8.0,42333.0,9.0,24.0,1.0,3.0
261,48.0,Female,Marketing,2.0,139047.0,10.0,28.0,1.0,9.0
262,47.0,Male,Marketing,9.0,66609.0,2.0,,,8.0
263,59.0,Male,Finance,14.0,90558.0,9.0,27.0,5.0,
264,52.0,Female,Finance,18.0,98892.0,6.0,29.0,5.0,3.0
265,24.0,Male,HR,1.0,70290.0,2.0,14.0,2.0,8.0
266,33.0,Female,HR,1.0,34925.0,8.0,20.0,2.0,3.0
267,43.0,Male,IT,8.0,40764.0,4.0,11.0,5.0,8.0
268,65.0,Male,HR,3.0,84226.0,8.0,10.0,2.0,0.0
269,19.0,Female,IT,4.0,,7.0,38.0,,7.0
270,18.0,Male,Marketing,1.0,69468.0,7.0,5.0,5.0,1.0
271,65.0,Male,HR,6.0,32094.0,7.0,2.0,4.0,7.0
272,29.0,Female,HR,,75583.0,2.0,40.0,4.0,4.0
273,,Male,HR,5.0,79021.0,8.0,14.0,2.0,0.0
274,54.0,Female,IT,15.0,101786.0,2.0,33.0,4.0,0.0
275,49.0,Female,IT,13.0,45362.0,3.0,3.0,5.0,5.0
276,26.0,Female,Sales,11.0,71575.0,10.0,33.0,4.0,0.0
277,58.0,Male,IT,5.0,76021.0,7.0,37.0,1.0,1.0
278,52.0,Male,IT,12.0,117172.0,7.0,38.0,,10.0
279,36.0,Female,Finance,14.0,42185.0,7.0,40.0,4.0,2.0
280,65.0,Female,HR,13.0,69771.0,4.0,5.0,2.0,10.0
281,33.0,Female,IT,7.0,111678.0,5.0,21.0,1.0,10.0
282,20.0,Female,,,148984.0,7.0,36.0,4.0,1.0
283,37.0,Male,,19.0,65069.0,8.0,31.0,5.0,8.0
284,41.0,Male,Finance,10.0,73190.0,3.0,27.0,3.0,9.0
285,50.0,Male,HR,20.0,100805.0,6.0,25.0,4.0,5.0
286,41.0,Male,IT,8.0,,9.0,3.0,1.0,8.0
287,28.0,Male,HR,11.0,139524.0,10.0,9.0,3.0,4.0
288,25.0,Female,Sales,5.0,57113.0,5.0,26.0,4.0,
289,53.0,Male,Sales,18.0,46888.0,4.0,19.0,2.0,1.0
290,55.0,Male,Finance,2.0,44748.0,9.0,,1.0,3.0
291,,Male,IT,0.0,146633.0,4.0,4.0,4.0,7.0
292,37.0,Female,Finance,14.0,81013.0,3.0,16.0,,1.0
293,52.0,Female,Sales,14.0,60203.0,,31.0,5.0,
294,65.0,Female,IT,4.0,148410.0,5.0,,3.0,
295,42.0,Female,HR,10.0,148371.0,1.0,22.0,3.0,0.0
296,52.0,Male,IT,0.0,145091.0,8.0,12.0,,3.0
297,42.0,Female,Marketing,9.0,50715.0,,0.0,3.0,6.0
298,46.0,Male,IT,19.0,72579.0,9.0,,3.0,1.0
299,35.0,Male,HR,10.0,32906.0,1.0,18.0,5.0,10.0
300,63.0,Female,Marketing,6.0,123125.0,,22.0,,2.0
301,35.0,Female,Finance,16.0,41808.0,10.0,33.0,3.0,5.0
302,19.0,Male,IT,,51112.0,4.0,3.0,2.0,
303,52.0,Male,,3.0,119629.0,9.0,33.0,,8.0
304,33.0,Female,IT,11.0,94945.0,1.0,,1.0,5.0
305,58.0,Male,Sales,2.0,97105.0,10.0,9.0,3.0,5.0
306,53.0,Male,,17.0,140212.0,9.0,5.0,,7.0
307,50.0,Male,HR,11.0,95675.0,4.0,11.0,5.0,0.0
308,21.0,Male,Sales,18.0,100219.0,7.0,11.0,3.0,9.0
309,50.0,Female,Marketing,12.0,135034.0,9.0,17.0,5.0,2.0
310,31.0,Male,Marketing,15.0,56419.0,7.0,35.0,2.0,1.0
311,38.0,Male,IT,7.0,41156.0,2.0,34.0,4.0,0.0
312,65.0,Female,,5.0,35062.0,6.0,24.0,4.0,10.0
313,37.0,Female,Marketing,9.0,83817.0,6.0,40.0,3.0,10.0
314,25.0,Male,IT,9.0,57745.0,3.0,,5.0,5.0
315,24.0,Male,Finance,5.0,64940.0,4.0,,4.0,3.0
316,20.0,Male,Sales,7.0,52463.0,6.0,28.0,3.0,
317,34.0,Female,IT,17.0,66188.0,6.0,6.0,4.0,7.0
318,50.0,Female,Finance,16.0,101813.0,1.0,39.0,4.0,6.0
319,65.0,Female,HR,9.0,123155.0,10.0,2.0,1.0,2.0
320,29.0,Female,HR,1.0,64017.0,8.0,20.0,3.0,2.0
321,39.0,Female,,11.0,144375.0,9.0,19.0,4.0,5.0
322,39.0,Female,Finance,19.0,60244.0,2.0,8.0,,
323,63.0,Female,HR,9.0,32697.0,4.0,40.0,1.0,
324,47.0,Male,Marketing,8.0,131057.0,6.0,35.0,3.0,7.0
325,55.0,Other,IT,15.0,44903.0,2.0,13.0,1.0,2.0
326,55.0,Male,IT,6.0,140930.0,7.0,17.0,4.0,0.0
327,62.0,Male,Finance,8.0,84086.0,6.0,32.0,4.0,
328,25.0,Female,Finance,5.0,118385.0,8.0,1.0,4.0,8.0
329,44.0,Male,,9.0,66652.0,7.0,36.0,1.0,
330,44.0,Female,Finance,6.0,37254.0,10.0,30.0,2.0,6.0
331,51.0,Female,HR,17.0,128398.0,1.0,21.0,1.0,7.0
332,38.0,Male,HR,,99827.0,,8.0,1.0,2.0
333,47.0,Female,Marketing,0.0,91631.0,10.0,,5.0,6.0
334,50.0,Male,HR,20.0,110527.0,5.0,19.0,4.0,9.0
335,45.0,Male,IT,18.0,75577.0,6.0,0.0,,3.0
336,64.0,Female,,4.0,108576.0,7.0,29.0,5.0,1.0
337,50.0,Female,HR,5.0,134084.0,4.0,,2.0,3.0
338,22.0,Female,Finance,6.0,149771.0,9.0,,,7.0
339,65.0,Male,HR,,143645.0,1.0,13.0,,1.0
340,36.0,Female,Sales,15.0,89019.0,3.0,0.0,4.0,5.0
341,21.0,Male,Marketing,9.0,103740.0,10.0,4.0,1.0,9.0
342,52.0,Female,HR,14.0,130605.0,2.0,9.0,2.0,2.0
343,34.0,Male,HR,12.0,,2.0,8.0,2.0,
344,61.0,Female,IT,,134528.0,1.0,13.0,2.0,
345,45.0,Male,Finance,12.0,95233.0,3.0,,2.0,2.0
346,47.0,Male,Finance,6.0,30372.0,10.0,17.0,5.0,1.0
347,46.0,Female,IT,16.0,132793.0,5.0,24.0,1.0,1.0
348,63.0,Female,IT,3.0,109737.0,6.0,35.0,5.0,2.0
349,23.0,Female,Sales,6.0,101387.0,8.0,30.0,5.0,1.0
350,52.0,Female,,15.0,101564.0,4.0,,3.0,5.0
351,58.0,Female,Finance,1.0,93615.0,,26.0,1.0,3.0
352,54.0,Female,IT,20.0,145504.0,9.0,21.0,2.0,
353,41.0,Male,IT,13.0,59445.0,3.0,10.0,1.0,
354,46.0,Female,Marketing,13.0,89147.0,8.0,9.0,2.0,9.0
355,63.0,Male,IT,7.0,115532.0,,7.0,3.0,
356,48.0,Female,Sales,5.0,123516.0,3.0,,4.0,2.0
357,52.0,Female,Marketing,6.0,,3.0,27.0,5.0,3.0
358,50.0,Female,Sales,6.0,93769.0,4.0,,,
359,38.0,Female,HR,1.0,54131.0,4.0,,5.0,0.0
360,49.0,Female,Finance,,52734.0,7.0,13.0,2.0,1.0
361,40.0,Female,IT,12.0,64100.0,2.0,23.0,2.0,9.0
362,50.0,Male,Marketing,9.0,44738.0,8.0,8.0,3.0,2.0
363,20.0,Female,Sales,8.0,106974.0,2.0,39.0,4.0,4.0
364,35.0,Male,Finance,14.0,78799.0,1.0,37.0,,
365,42.0,Female,Finance,11.0,77429.0,8.0,,5.0,6.0
366,59.0,Male,IT,9.0,30755.0,4.0,37.0,2.0,0.0
367,,Male,,18.0,92716.0,6.0,29.0,2.0,1.0
368,20.0,Male,IT,20.0,99061.0,1.0,21.0,4.0,3.0
369,57.0,Male,HR,4.0,59884.0,3.0,,2.0,9.0
370,63.0,Female,IT,,31796.0,7.0,24.0,2.0,
371,41.0,Male,Sales,19.0,43754.0,7.0,23.0,3.0,
372,49.0,Female,Finance,10.0,42161.0,8.0,36.0,4.0,0.0
373,64.0,Male,Finance,15.0,147747.0,2.0,2.0,4.0,
374,39.0,Female,Finance,12.0,97713.0,7.0,,1.0,8.0
375,40.0,Female,IT,3.0,123668.0,4.0,,4.0,5.0
376,19.0,Female,Marketing,15.0,97586.0,6.0,28.0,4.0,1.0
377,44.0,Female,IT,12.0,81141.0,4.0,6.0,1.0,9.0
378,59.0,Male,Sales,0.0,120666.0,9.0,8.0,2.0,6.0
379,19.0,Female,IT,3.0,143796.0,1.0,29.0,2.0,9.0
380,43.0,Male,Finance,14.0,68577.0,1.0,15.0,5.0,5.0
381,34.0,Female,HR,20.0,84765.0,5.0,39.0,2.0,10.0
382,57.0,Female,Sales,15.0,54841.0,5.0,,4.0,5.0
383,50.0,Male,HR,3.0,55498.0,8.0,25.0,5.0,7.0
384,26.0,Female,Sales,,138567.0,7.0,36.0,5.0,9.0
385,60.0,Female,Sales,10.0,120645.0,3.0,9.0,2.0,2.0
386,65.0,Male,Finance,4.0,134280.0,8.0,29.0,5.0,9.0
387,56.0,Male,IT,12.0,142642.0,4.0,21.0,1.0,1.0
388,46.0,Male,Finance,11.0,107711.0,3.0,29.0,5.0,8.0
389,59.0,Female,,2.0,97229.0,2.0,31.0,3.0,4.0
390,43.0,Female,Finance,3.0,93914.0,9.0,13.0,1.0,
391,,Male,,9.0,,7.0,22.0,4.0,
392,42.0,Male,Sales,8.0,123802.0,5.0,16.0,2.0,6.0
393,41.0,Female,Marketing,,141399.0,9.0,35.0,2.0,1.0
